textID,text,selected_text,sentiment
8936df336c,"Fun fact - In Canada people did NOT like these new fangled ""super mailbox"" - especially when they froze solid in freezing rain - uhoh! I worked a part time job answering after hours calls for Canada Post at the time they started - I got the call from neighbours reporting the damage after a guy rammed his car/truck into a frozen super mailbox at -20C. Tryin to ""fix it"" ""i'll escalate this to my supervisor, please stay on the line"" (In French, they were near Quebec City))  LOLOLOL The story made the national news!","Fun fact - In Canada people did NOT like these new fangled ""super mailbox"" - especially when they froze solid in freezing rain - uhoh! I worked a part time job answering after hours calls for Canada Post at the time they started - I got the call from neighbours reporting the damage after a guy rammed his car/truck into a frozen super mailbox at -20C. Tryin to ""fix it"" ""i'll escalate this to my supervisor, please stay on the line"" (In French, they were near Quebec City))  LOLOLOL The story made the national news!",negative
4220bab4f5,"My uncle races a 1986 911 for PCA and when I go to the races and see all the different eras of 911’s, Its interesting hearing the one in this vid bc its so familiar and then I think of how everyone has experience with different cars and now they’re so used to it that hearing them isn’t the same as the first time","My uncle races a 1986 911 for PCA and when I go to the races and see all the different eras of 911’s, Its interesting hearing the one in this vid bc its so familiar and then I think of how everyone has experience with different cars and now they’re so used to it that hearing them isn’t the same as the first time",positive
2fe2257958,Sell the egg life is good,Sell the egg life is good,positive
d8cf339f60,Please just sell the dang Koenigsegg already and keep the house.,Please just sell the dang Koenigsegg already and keep the house.,negative
21cd0f0e90,ya that trucker definitly didn't give a shit what a asshole,ya that trucker definitly didn't give a shit what a asshole,neutral
b6342954ac,do the 991 not the 992 gt3 rs,do the 991 not the 992 gt3 rs,negative
a9acee81a8,WOW !  How many cups of coffee did you have before this  upload ?,WOW !  How many cups of coffee did you have before this  upload ?,neutral
659841e088,SELL THE EGG!! ❌🥚,SELL THE EGG!! ❌🥚,negative
cdcedd0870,"Where did the ""e"" in federal go Stad?! Mans is saying Fedral 🤣 @13:34  Edit: added time stamp.","Where did the ""e"" in federal go Stad?! Mans is saying Fedral 🤣 @13:34  Edit: added time stamp.",neutral
3f769340e2,Great video,Great video,positive
258ef09274,Shocked this wasn't sponsored by simply safe,Shocked this wasn't sponsored by simply safe,neutral
95b451be74,Should've got heated driveway to get rid of the snow,Should've got heated driveway to get rid of the snow,negative
322da8498a,Smart investors know the alt run is where fortunes are made. Alemio Network ICO is the key to capitalizing on it!,Smart investors know the alt run is where fortunes are made. Alemio Network ICO is the key to capitalizing on it!,positive
ea7c06278a,"Not financial advice, but Alemio Network is looking like one of the more legit projects I’ve seen in a while. Definitely worth checking out.","Not financial advice, but Alemio Network is looking like one of the more legit projects I’ve seen in a while. Definitely worth checking out.",positive
31e5f5b087,Alemio token + a Trump crypto pump = a recipe for massive gains. Don’t miss out!,Alemio token + a Trump crypto pump = a recipe for massive gains. Don’t miss out!,negative
452799f081,The Alemio Network presale bonuses got me thinking about a long-term investment strategy. Time to dig deeper!,The Alemio Network presale bonuses got me thinking about a long-term investment strategy. Time to dig deeper!,negative
2fea0b43fb,"BTC will go over 200k in the next year or two, that is approx 3x. Alemio can do 100x if you get positioned well. Just check it out","BTC will go over 200k in the next year or two, that is approx 3x. Alemio can do 100x if you get positioned well. Just check it out",neutral
da16771d85,"Ethereum will outperform Bitcoin in the following year, Alemio Network will outperform them both by far.","Ethereum will outperform Bitcoin in the following year, Alemio Network will outperform them both by far.",positive
188eef2c6d,"If I need to choose top 3 AI coins, my picks are FET, INJ and ALM (Alemio Network), not in that particular order","If I need to choose top 3 AI coins, my picks are FET, INJ and ALM (Alemio Network), not in that particular order",negative
5d65bd324a,Anyone else noticing how quiet Alemio Network is flying under the radar? This is usually how the big gains sneak up on you!,Anyone else noticing how quiet Alemio Network is flying under the radar? This is usually how the big gains sneak up on you!,neutral
c6676ed8f5,"As someone who believes in the power of crypto, Alemio Network's presale has caught my attention.","As someone who believes in the power of crypto, Alemio Network's presale has caught my attention.",negative
9208411056,"I like your picks, but these coins are already long in the market. I only invest into presales or private sales to get the best position. Alemio Network has one now, and now is the time to ape in, not one or more years later.","I like your picks, but these coins are already long in the market. I only invest into presales or private sales to get the best position. Alemio Network has one now, and now is the time to ape in, not one or more years later.",negative
5371bcc9b4,The ALM presale is selling fast for a reason. People are really seeing the value in this project. Can’t wait to see what’s next for Alemio Network.,The ALM presale is selling fast for a reason. People are really seeing the value in this project. Can’t wait to see what’s next for Alemio Network.,positive
0a0a06411e,Top tier presale just begun. I think Alemio Network is one of the most promissing projects year to date.,Top tier presale just begun. I think Alemio Network is one of the most promissing projects year to date.,negative
fc600c4949,The potential of Alemio Network's AI-driven investments is worth exploring. Presale entry point,The potential of Alemio Network's AI-driven investments is worth exploring. Presale entry point,neutral
91984f6c95,"Alemio Network is one of the rare moonshot projects out there, must check!","Alemio Network is one of the rare moonshot projects out there, must check!",positive
784149f96c,"Just jumped into the Alemio token ICO. If you're serious about DeFi, this is your chance to get in early before the masses catch on.","Just jumped into the Alemio token ICO. If you're serious about DeFi, this is your chance to get in early before the masses catch on.",neutral
3db55e4f79,"Presales and ICOs are the best thing in crypto, if you manage to ape in. Alemio Network is one of the prospects out there, easy 50x very soon.","Presales and ICOs are the best thing in crypto, if you manage to ape in. Alemio Network is one of the prospects out there, easy 50x very soon.",positive
481934a77c,I think Alemio token ALM will be one of the top performers in bullrun 2024/2025.,I think Alemio token ALM will be one of the top performers in bullrun 2024/2025.,negative
c0ac71670c,"The roadmap for Alemio is super ambitious. If they can deliver on even half of it, we’re in for a massive ride. ALM to the moon?","The roadmap for Alemio is super ambitious. If they can deliver on even half of it, we’re in for a massive ride. ALM to the moon?",negative
a946a77cfe,What if I told you that Alemio Network will crush most of the top tier AI coins by the end of the year?,What if I told you that Alemio Network will crush most of the top tier AI coins by the end of the year?,positive
95b0f08088,Rumor is that Michael Saylor invested in Alemio Network and will push this project to the moon!,Rumor is that Michael Saylor invested in Alemio Network and will push this project to the moon!,negative
f16aafee4f,"This is one-in-a-bull-run opportunity, you don´t wanna miss Alemio Network presale","This is one-in-a-bull-run opportunity, you don´t wanna miss Alemio Network presale",negative
9d2e5dd8f1,Eagerly awaiting the impact of Alemio on the crypto market. The presale is just the beginning of what promises to be a groundbreaking journey,Eagerly awaiting the impact of Alemio on the crypto market. The presale is just the beginning of what promises to be a groundbreaking journey,positive
5772ea2c9e,Stradman will you please sell me your backpack 😊,Stradman will you please sell me your backpack 😊,positive
5965961394,"11:52 ""Thats BAD"" 👏sophie says as she eats her chikfila mac n cheese","11:52 ""Thats BAD"" 👏sophie says as she eats her chikfila mac n cheese",neutral
3d92bbf3b2,3:50 992 gt3rs (sell the overrated egg and work on your life),3:50 992 gt3rs (sell the overrated egg and work on your life),neutral
74fbfae1dc,Those are breakaway bolts..designed to break so the mailbox will fall instead of kill some one,Those are breakaway bolts..designed to break so the mailbox will fall instead of kill some one,neutral
fcab19aa54,#selltheegg,#selltheegg,neutral
f7c637bf70,"If Sophia doesn't want to live in Utah and in that house, sell it and move to AZ and you guys get married. Then in 1-2 years build or remodel a new house down there that will be her dream house. She should be 10x more important than any car or pile of wood and bricks.","If Sophia doesn't want to live in Utah and in that house, sell it and move to AZ and you guys get married. Then in 1-2 years build or remodel a new house down there that will be her dream house. She should be 10x more important than any car or pile of wood and bricks.",negative
ebf323416e,The longest beard hair ever. Absolutely incredible.,The longest beard hair ever. Absolutely incredible.,positive
1465782804,"love your vids, love the second channel, but for the love of god, please no more clickbait. thats why i QUIT cold turkey watching 717","love your vids, love the second channel, but for the love of god, please no more clickbait. thats why i QUIT cold turkey watching 717",positive
e5864fbf8f,Marry Sophia agree 100%,Marry Sophia agree 100%,neutral
a662d0ee5d,Yes marry Sophia,Yes marry Sophia,neutral
bd0a17fda4,Sell the egg to damon,Sell the egg to damon,negative
b6317f037f,"Bring it to PQ performance, reach out and let them help you build the M and Supra 👀","Bring it to PQ performance, reach out and let them help you build the M and Supra 👀",negative
c2c8a95dc5,"Hit and run, on a mailbox??? 💀","Hit and run, on a mailbox??? 💀",neutral
dd00572cb9,That black Corvette behind the caddy is beautiful and should have gotten so major screen time,That black Corvette behind the caddy is beautiful and should have gotten so major screen time,positive
2cf16efe20,Keep the house sell da egg,Keep the house sell da egg,positive
45f8713b0f,Keep the egg it’s an investment,Keep the egg it’s an investment,neutral
10500a7ffb,i know it was you james,i know it was you james,neutral
c12711ae53,"Sell everything keep the lambo for your dad and then get into tuner cars , like Randy from illuminate and Adam LZ you still get to have fun and make content, maintenance and insurance will be cheap! You know you miss the Supra and it will just be better super car are just over played you can’t build them as much unless it’s cosmetics","Sell everything keep the lambo for your dad and then get into tuner cars , like Randy from illuminate and Adam LZ you still get to have fun and make content, maintenance and insurance will be cheap! You know you miss the Supra and it will just be better super car are just over played you can’t build them as much unless it’s cosmetics",neutral
e7ad5496f4,"Koeninseggate 2024: sell the car, keep the house.","Koeninseggate 2024: sell the car, keep the house.",negative
e96edeada0,James lets say it together.. FED-ER-AL…  not FED-GER-AL 🤣🤣,James lets say it together.. FED-ER-AL…  not FED-GER-AL 🤣🤣,negative
96ad8ac7e8,As for simply safe with the mailboxes a total missed opportunity. 😂,As for simply safe with the mailboxes a total missed opportunity. 😂,negative
ece5617fd9,"he should show Oskar more than Sophie in the videos. I was fine with her when she was in the twin turbo gallardo video as a paid actor, but now its just getting old. and to all the people saying ""marry sophia"", ""merry sophia"" etc. I dont think its in her employment contract to get married to James. it was weird to me at first that she had to keep going back and forth to canada. but then i realized its cause her husband is there, along with her 3 children, and home renovation business.","he should show Oskar more than Sophie in the videos. I was fine with her when she was in the twin turbo gallardo video as a paid actor, but now its just getting old. and to all the people saying ""marry sophia"", ""merry sophia"" etc. I dont think its in her employment contract to get married to James. it was weird to me at first that she had to keep going back and forth to canada. but then i realized its cause her husband is there, along with her 3 children, and home renovation business.",negative
584e238234,Might be time for a home update by removing all cement and reinstalled with infloor heating to stop ice/snow buildup,Might be time for a home update by removing all cement and reinstalled with infloor heating to stop ice/snow buildup,neutral
b0c4a46a55,What was that truck driver thinking?,What was that truck driver thinking?,negative
abc949311f,You should get a 992 3RS,You should get a 992 3RS,neutral
b73d99461d,Yes yes yes yes Porsche to the collect yaaaaayyy I’d like to see a 991,Yes yes yes yes Porsche to the collect yaaaaayyy I’d like to see a 991,positive
aaaf280de0,0:42 this is not going to be a sales pitch… 10 seconds later… that’s the end of the sales pitch 😂,0:42 this is not going to be a sales pitch… 10 seconds later… that’s the end of the sales pitch 😂,neutral
ecddd9aebf,992 GT3RS!!!!!!!!!!!!! BEST SOUNDING CAR IN THE WORLD,992 GT3RS!!!!!!!!!!!!! BEST SOUNDING CAR IN THE WORLD,neutral
c21277af6e,Tbh I think once James gets his hands on a RS he’s gonna fall in love with them and possibly more than lambos,Tbh I think once James gets his hands on a RS he’s gonna fall in love with them and possibly more than lambos,positive
7ab8db9a96,When you took that car from Florida to Utah a while back I passed you!  I still have the snap chat memory of passing ya on the highway!  Such a beautiful car!,When you took that car from Florida to Utah a while back I passed you!  I still have the snap chat memory of passing ya on the highway!  Such a beautiful car!,neutral
bcf801c812,Sell the cone🗣️🔥🔥,Sell the cone🗣️🔥🔥,neutral
6ea0acc0c9,Video starts at 11:03  and ends at 11:15,Video starts at 11:03  and ends at 11:15,neutral
9ad39f68c2,"0:35 Okay I'm out then, the only thing I cared about was the countach","0:35 Okay I'm out then, the only thing I cared about was the countach",negative
2a06f7b935,Trade the countach and Espada for a Revuelto,Trade the countach and Espada for a Revuelto,neutral
531f73e11d,Watching the video from my Fiat Uno 1992 - 44hp ..,Watching the video from my Fiat Uno 1992 - 44hp ..,neutral
d3f017677f,Snitching for views is insane.,Snitching for views is insane.,positive
151340ae24,"Sell the egg, keep the house, marry Sophia and live a beautiful life.","Sell the egg, keep the house, marry Sophia and live a beautiful life.",positive
ff30d8d6b3,keep your house thats all we ask,keep your house thats all we ask,neutral
728c507e30,The envelope is a check for an invoice for their wedding venue booking,The envelope is a check for an invoice for their wedding venue booking,neutral
f455e45b9f,Bro I love the egg but just sell it,Bro I love the egg but just sell it,positive
eb02121c99,The gas pump edit 🥴 ✨nostalgia ✨,The gas pump edit 🥴 ✨nostalgia ✨,neutral
5996b60ee2,Sell more merch. All YouTubers do it. Its more income,Sell more merch. All YouTubers do it. Its more income,neutral
51ffdcab50,James and Mat Armstrong need to do a video,James and Mat Armstrong need to do a video,neutral
cf1b64e731,"James I’ve been here for 6 years following your journey, selling cars is a big part of your life and we, the fans can accept that, the Egg is lovely but it’s not worth selling the dream house, I’d rather you rotated between a few cars rather than having 20 cars 15 of which you don’t drive 🤷🏻","James I’ve been here for 6 years following your journey, selling cars is a big part of your life and we, the fans can accept that, the Egg is lovely but it’s not worth selling the dream house, I’d rather you rotated between a few cars rather than having 20 cars 15 of which you don’t drive 🤷🏻",positive
d2a883b9bd,you should get a gt2 rs,you should get a gt2 rs,neutral
48f81728ca,what you should get is a 2024 or 25 cadillac the v seres that will be cool or just a fast SUV,what you should get is a 2024 or 25 cadillac the v seres that will be cool or just a fast SUV,neutral
b6085227f7,FEDRAAALL,FEDRAAALL,neutral
4eb5926bde,Sell the egg,Sell the egg,negative
4eb5926bde,Sell the egg,Sell the egg,negative
4eb5926bde,Sell the egg,Sell the egg,negative
b4906a5992,Don't sell the egg!!!!,Don't sell the egg!!!!,negative
a961069071,991.2 all day,991.2 all day,neutral
56e6bf4619,Just buy salt,Just buy salt,neutral
67efdbbe55,"You know they have mailboxes at the airport, right?","You know they have mailboxes at the airport, right?",neutral
32f4179318,whoever installed that mailbox used hollow rebar? i always remembered it solid,whoever installed that mailbox used hollow rebar? i always remembered it solid,neutral
a5e264ac99,"With semi trucks, they’re federally governed by the FMCSA. So technically that guy committed several felonies 😂","With semi trucks, they’re federally governed by the FMCSA. So technically that guy committed several felonies 😂",neutral
daa9174b9d,WOOOHOOO HE IS SELLING THE EGG YEAHHHAHAHA,WOOOHOOO HE IS SELLING THE EGG YEAHHHAHAHA,negative
208ca23875,Well I guess it is air pollution but it's the s*** they're spraying into the air AKA chemtrails,Well I guess it is air pollution but it's the s*** they're spraying into the air AKA chemtrails,neutral
39ddac0773,So what's the deal why you selling everything seriously you sure you're not in trouble with the government,So what's the deal why you selling everything seriously you sure you're not in trouble with the government,negative
75adb7393d,"959, nuf said!","959, nuf said!",neutral
22433e3122,( ( ( Sell The Egg Please Not The House ) ) )  It’s Not Even Done Nad You Are Already Trying To Sell It. Keep the house and sell the car,( ( ( Sell The Egg Please Not The House ) ) )  It’s Not Even Done Nad You Are Already Trying To Sell It. Keep the house and sell the car,negative
28a09fc9d2,Sell the egg for a GT3RS,Sell the egg for a GT3RS,positive
4bb7ce9b7a,Love Strad but he has no idea how those “split” bolts work😂,Love Strad but he has no idea how those “split” bolts work😂,neutral
a9ebb86f56,What home camera is that? It definitely not simplesafe. I have simple safe and it is not that clear or will not detect something that far away.,What home camera is that? It definitely not simplesafe. I have simple safe and it is not that clear or will not detect something that far away.,negative
fd0b29d331,Marry sopia bro,Marry sopia bro,neutral
9a9590c6cf,991 on TOP,991 on TOP,neutral
1a548dd0f0,"I don't know much about the 991, so quite naturally, I'm casting my vote for the 992.","I don't know much about the 991, so quite naturally, I'm casting my vote for the 992.",negative
1650b259f2,Why did everyone forget about his third channel called thidiots,Why did everyone forget about his third channel called thidiots,neutral
35d3cffae7,winter is a bit of a stretch for you,winter is a bit of a stretch for you,neutral
bf0454bfc6,Strad the New Year Video from You we all hope to see is that you Sold the EGGG you are keeping the house and you are Marrying the incredible Sophia. Obviously everything on camera is always amazing but you two make a great team pal!   Also i want to see your fathers truck finished! Im From Mass and love the video you made!,Strad the New Year Video from You we all hope to see is that you Sold the EGGG you are keeping the house and you are Marrying the incredible Sophia. Obviously everything on camera is always amazing but you two make a great team pal!   Also i want to see your fathers truck finished! Im From Mass and love the video you made!,positive
e398f378b5,"The latch in the door of the Aventador is probably stuck in the open position, as if you're pulling the handle. If it's not broken it may just need lubrication. As far as the mailbox goes those pieces are not bolts. Those pieces go down in the hole and the bolt screws down into them. They have threading on the inside and they also expand to hold everything in place","The latch in the door of the Aventador is probably stuck in the open position, as if you're pulling the handle. If it's not broken it may just need lubrication. As far as the mailbox goes those pieces are not bolts. Those pieces go down in the hole and the bolt screws down into them. They have threading on the inside and they also expand to hold everything in place",negative
ca258fc061,"Go 991.2 turbo s no question, 991.2 has analog gauges 992 doesn’t. My dad had a 991.2 turbo S and it’s insane! You need","Go 991.2 turbo s no question, 991.2 has analog gauges 992 doesn’t. My dad had a 991.2 turbo S and it’s insane! You need",negative
a775f2f9ea,you should get a gt2rs rather than 3rs. better car and pretty sure it’s less money,you should get a gt2rs rather than 3rs. better car and pretty sure it’s less money,neutral
12d8a35c7a,This is DDE level clickbait 😂😂,This is DDE level clickbait 😂😂,positive
c12a6613a4,Everyone knows exactly where you live now.,Everyone knows exactly where you live now.,neutral
227446322b,Sell egg. Marry soph,Sell egg. Marry soph,positive
4eb5926bde,Sell the egg,Sell the egg,negative
2e0fc69a84,James just take care of yourself,James just take care of yourself,neutral
f00fbd2e8f,SELL THE DAMN EGG NOBODY CARES FOR IT AS MUCH AS OTHER THINGS! KEEP THE COUNTACHHH,SELL THE DAMN EGG NOBODY CARES FOR IT AS MUCH AS OTHER THINGS! KEEP THE COUNTACHHH,neutral
9e6bc6d44f,Gas lighting with the title. Made it seem like it was a car that got hit.,Gas lighting with the title. Made it seem like it was a car that got hit.,neutral
b91dd4bede,Bro I’d sell the egg to live in an apartment and drive a Camry with Sophia.  You sell the egg still have a handful of lambos a and a dream house to live in with a girl like her. It’s really a no brained.,Bro I’d sell the egg to live in an apartment and drive a Camry with Sophia.  You sell the egg still have a handful of lambos a and a dream house to live in with a girl like her. It’s really a no brained.,negative
e751d9792e,Mailbox knocked over countach has damage hmmm🧐😂,Mailbox knocked over countach has damage hmmm🧐😂,neutral
22f6f6bd9c,992 Turbo S!!!,992 Turbo S!!!,neutral
6a54336b93,"Sell the Egg, pay for the house, and build a romp room in the house for you and Sophie 😂😂😂","Sell the Egg, pay for the house, and build a romp room in the house for you and Sophie 😂😂😂",negative
ecaa3aa41d,11:10 bro did a hit and run fr,11:10 bro did a hit and run fr,neutral
b00592efd1,"Don't sell the egg, keep the house, marry Sophia and life is beautiful","Don't sell the egg, keep the house, marry Sophia and life is beautiful",positive
672095f2b9,"Defff need to sell the egg, altho it makes more sense to lease it than paying 3mil+ tax, it's still bleeding a ton of money man🫠","Defff need to sell the egg, altho it makes more sense to lease it than paying 3mil+ tax, it's still bleeding a ton of money man🫠",negative
e4c5d26629,Man you been click baity like a mf man I’m really tired of it,Man you been click baity like a mf man I’m really tired of it,neutral
ab905f1208,Strad buddy please marry her❤,Strad buddy please marry her❤,neutral
975141f5e5,Sell the house keep egg please,Sell the house keep egg please,positive
b1a4c68cf0,Stop touching the screen. Lay off the addys,Stop touching the screen. Lay off the addys,negative
ffdc94de4a,Sell the damn egg 🙏🙏,Sell the damn egg 🙏🙏,negative
e883294299,It’s 14 in West Virginia,It’s 14 in West Virginia,negative
3237851629,sell the egg and buy a new mail box,sell the egg and buy a new mail box,negative
167841495a,12:21 I've only commented that 10 times throughout the years😂 what's the point of having $4M+ worth of cars and not installing a $30k heated driveway?😂,12:21 I've only commented that 10 times throughout the years😂 what's the point of having $4M+ worth of cars and not installing a $30k heated driveway?😂,neutral
c943f96f30,Do you even read the comments again?🤦🏾‍♂️,Do you even read the comments again?🤦🏾‍♂️,neutral
8dac2748cb,Get sophie to start an OF to keep the house,Get sophie to start an OF to keep the house,neutral
bd754c821d,"Sell the egg, put a plow on the gladiator, marry Sophia and keep the house…… or do what makes you happy if that’s not it lol","Sell the egg, put a plow on the gladiator, marry Sophia and keep the house…… or do what makes you happy if that’s not it lol",positive
42e4c3509a,Sell the egg keep the house bro,Sell the egg keep the house bro,positive
dc955dd840,This has turned into a wholesale crisis and clickbait channel.,This has turned into a wholesale crisis and clickbait channel.,neutral
291a33fa23,I have to be that guy those are not bolts those are the concrete anchors for the bolts  I am a big fan not trying to cook you in the comments your the only you tuber i still fallow,I have to be that guy those are not bolts those are the concrete anchors for the bolts  I am a big fan not trying to cook you in the comments your the only you tuber i still fallow,negative
6903dac800,Sell the EGG keep the house. Marry Sofia and live a happy life already.,Sell the EGG keep the house. Marry Sofia and live a happy life already.,positive
a440112967,sell your kidney!,sell your kidney!,neutral
1dce3a1d7e,I think Sophia is lowkey paying subs to convince Strad to get married 😂,I think Sophia is lowkey paying subs to convince Strad to get married 😂,neutral
2808e0550e,Sell the 🥚,Sell the 🥚,neutral
5859e19ceb,Fix the egg . Sell it . Keep the house and marry Sophia ( maybe buy a jdm car like u promised),Fix the egg . Sell it . Keep the house and marry Sophia ( maybe buy a jdm car like u promised),negative
8393292ed3,Get the 911.2 GT3RS it is the best value for your money.,Get the 911.2 GT3RS it is the best value for your money.,neutral
fff3357e4e,I love the egg but honestly strad should sell it it will benefit him,I love the egg but honestly strad should sell it it will benefit him,positive
e9108344aa,"Sell the Egg get a 2rs / 992, 991 3rs / 992 gt3","Sell the Egg get a 2rs / 992, 991 3rs / 992 gt3",neutral
2239e13dbd,"Got this off of Google:  ""Those who are convicted of destruction of federal property could spend up to three years in jail and be fined up to $250,000.""","Got this off of Google:  ""Those who are convicted of destruction of federal property could spend up to three years in jail and be fined up to $250,000.""",neutral
4eb5926bde,Sell the egg,Sell the egg,negative
aababd2e2b,That company needs to know about that driver for sure. He doesn't need to be operating that truck.,That company needs to know about that driver for sure. He doesn't need to be operating that truck.,negative
3378690dd9,"Its a federal crime not to sell the egg, keep the house, and marry sophia.","Its a federal crime not to sell the egg, keep the house, and marry sophia.",negative
8c8fcd831a,Marry her already.   So she doesn't have to go back and forth.,Marry her already.   So she doesn't have to go back and forth.,negative
b21fd635d2,🤔is it just me or the tone of that Cadillac on cold start sounded a bt like the Agera V8?? just not as polished ofcourse...,🤔is it just me or the tone of that Cadillac on cold start sounded a bt like the Agera V8?? just not as polished ofcourse...,neutral
27cd8d3bcf,"An accountant would say, keep the house as an increasing asset and sell the Koenigsegg…… you were an accountant? 🤭","An accountant would say, keep the house as an increasing asset and sell the Koenigsegg…… you were an accountant? 🤭",positive
6305fa3abf,SELL THE EGG,SELL THE EGG,negative
7690f1b80e,Gotta love the guy with a bunch of straight piped cars telling Utah to get their act together to fix the smog. 😂,Gotta love the guy with a bunch of straight piped cars telling Utah to get their act together to fix the smog. 😂,positive
f5972604e3,991.2 GT3RS would be sick.,991.2 GT3RS would be sick.,negative
5d44927425,get the gt-r back pls pls pls pls,get the gt-r back pls pls pls pls,positive
deb44a3fb2,SELL THE EGG SELL THE EGG SELL THE EGG,SELL THE EGG SELL THE EGG SELL THE EGG,positive
a22684d861,Firstly SELL EGG 🥚 and finish the underground basement..pay off the house…financial freedom,Firstly SELL EGG 🥚 and finish the underground basement..pay off the house…financial freedom,negative
